Dates,TRIMA Values
2022-06-29,195.4267
2022-06-28,195.8758
2022-06-27,196.3184
2022-06-24,196.7548
2022-06-23,197.1854
2022-06-22,197.6125
2022-06-21,198.0368
2022-06-17,198.4586
2022-06-16,198.8760
2022-06-15,199.2883
2022-06-14,199.6948
2022-06-13,200.0950
2022-06-10,200.4860
2022-06-09,200.8665
2022-06-08,201.2369
2022-06-07,201.5978
2022-06-06,201.9498
2022-06-03,202.2938
2022-06-02,202.6312
2022-06-01,202.9624
2022-05-31,203.2878
2022-05-27,203.6074
2022-05-26,203.9213
2022-05-25,204.2303
2022-05-24,204.5348
2022-05-23,204.8344
2022-05-20,205.1284
2022-05-19,205.4170
2022-05-18,205.6994
2022-05-17,205.9767
2022-05-16,206.2486
2022-05-13,206.5162
2022-05-12,206.7807
2022-05-11,207.0429
2022-05-10,207.3014
2022-05-09,207.5568
2022-05-06,207.8086
2022-05-05,208.0566
2022-05-04,208.3015
2022-05-03,208.5419
2022-05-02,208.7769
2022-04-29,209.0072
2022-04-28,209.2331
2022-04-27,209.4560
2022-04-26,209.6770
2022-04-25,209.8982
2022-04-22,210.1215
2022-04-21,210.3464
2022-04-20,210.5724
2022-04-19,210.7991
2022-04-18,211.0259
2022-04-14,211.2533
2022-04-13,211.4803
2022-04-12,211.7049
2022-04-11,211.9265
2022-04-08,212.1453
2022-04-07,212.3608
2022-04-06,212.5728
2022-04-05,212.7830
2022-04-04,212.9918
2022-04-01,213.1987
2022-03-31,213.4043
2022-03-30,213.6085
2022-03-29,213.8127
2022-03-28,214.0183
2022-03-25,214.2254
2022-03-24,214.4334
2022-03-23,214.6429
2022-03-22,214.8551
2022-03-21,215.0697
2022-03-18,215.2867
2022-03-17,215.5050
2022-03-16,215.7256
2022-03-15,215.9480
2022-03-14,216.1708
2022-03-11,216.3936
2022-03-10,216.6147
2022-03-09,216.8341
2022-03-08,217.0517
2022-03-07,217.2668
2022-03-04,217.4775
2022-03-03,217.6826
2022-03-02,217.8833
2022-03-01,218.0804
2022-02-28,218.2751
2022-02-25,218.4666
2022-02-24,218.6559
2022-02-23,218.8432
2022-02-22,219.0292
2022-02-18,219.2138
2022-02-17,219.3969
2022-02-16,219.5795
2022-02-15,219.7622
2022-02-14,219.9461
2022-02-11,220.1313
2022-02-10,220.3186
2022-02-09,220.5089
2022-02-08,220.7029
2022-02-07,220.9000
2022-02-04,221.0994
2022-02-03,221.3009
2022-02-02,221.5040
2022-02-01,221.7086
2022-01-31,221.9160
2022-01-28,222.1265
2022-01-27,222.3394
2022-01-26,222.5535
2022-01-25,222.7679
2022-01-24,222.9829
2022-01-21,223.1996
2022-01-20,223.4186
2022-01-19,223.6394
2022-01-18,223.8633
2022-01-14,224.0910
2022-01-13,224.3223
2022-01-12,224.5575
2022-01-11,224.7970
2022-01-10,225.0409
2022-01-07,225.2876
2022-01-06,225.5359
2022-01-05,225.7845
2022-01-04,226.0320
2022-01-03,226.2787
2021-12-31,226.5246
2021-12-30,226.7694
2021-12-29,227.0138
2021-12-28,227.2577
2021-12-27,227.5024
2021-12-23,227.7490
2021-12-22,227.9955
2021-12-21,228.2415
2021-12-20,228.4855
2021-12-17,228.7262
2021-12-16,228.9617
2021-12-15,229.1937
2021-12-14,229.4228
2021-12-13,229.6490
2021-12-10,229.8730
2021-12-09,230.0937
2021-12-08,230.3125
2021-12-07,230.5326
2021-12-06,230.7526
2021-12-03,230.9707
2021-12-02,231.1864
2021-12-01,231.3976
2021-11-30,231.6040
2021-11-29,231.8032
2021-11-26,231.9957
2021-11-24,232.1824
2021-11-23,232.3634
2021-11-22,232.5398
2021-11-19,232.7107
2021-11-18,232.8755
2021-11-17,233.0353
2021-11-16,233.1910
2021-11-15,233.3407
2021-11-12,233.4828
2021-11-11,233.6182
2021-11-10,233.7468
2021-11-09,233.8679
2021-11-08,233.9828
2021-11-05,234.0926
2021-11-04,234.1971
2021-11-03,234.2960
2021-11-02,234.3882
2021-11-01,234.4737
2021-10-29,234.5514
2021-10-28,234.6220
2021-10-27,234.6839
2021-10-26,234.7371
2021-10-25,234.7815
2021-10-22,234.8178
2021-10-21,234.8462
2021-10-20,234.8661
2021-10-19,234.8784
2021-10-18,234.8830
2021-10-15,234.8814
2021-10-14,234.8750
2021-10-13,234.8642
2021-10-12,234.8495
2021-10-11,234.8325
2021-10-08,234.8146
2021-10-07,234.7961
2021-10-06,234.7766
2021-10-05,234.7561
2021-10-04,234.7350
2021-10-01,234.7147
2021-09-30,234.6947
2021-09-29,234.6741
2021-09-28,234.6516
2021-09-27,234.6286
2021-09-24,234.6048
2021-09-23,234.5809
2021-09-22,234.5562
2021-09-21,234.5298
2021-09-20,234.5019
2021-09-17,234.4701
2021-09-16,234.4328
2021-09-15,234.3896
2021-09-14,234.3414
2021-09-13,234.2892
2021-09-10,234.2331
2021-09-09,234.1725
2021-09-08,234.1052
2021-09-07,234.0307
2021-09-03,233.9478
2021-09-02,233.8571
2021-09-01,233.7580
2021-08-31,233.6494
2021-08-30,233.5303
2021-08-27,233.4007
2021-08-26,233.2611
2021-08-25,233.1109
2021-08-24,232.9468
2021-08-23,232.7695
2021-08-20,232.5788
2021-08-19,232.3749
2021-08-18,232.1570
2021-08-17,231.9253
2021-08-16,231.6813
2021-08-13,231.4258
2021-08-12,231.1608
2021-08-11,230.8862
2021-08-10,230.6015
2021-08-09,230.3066
2021-08-06,229.9997
2021-08-05,229.6811
2021-08-04,229.3504
2021-08-03,229.0060
2021-08-02,228.6488
2021-07-30,228.2811
2021-07-29,227.9047
2021-07-28,227.5223
2021-07-27,227.1351
2021-07-26,226.7431
2021-07-23,226.3445
2021-07-22,225.9394
2021-07-21,225.5288
2021-07-20,225.1135
2021-07-19,224.6945
2021-07-16,224.2692
2021-07-15,223.8369
2021-07-14,223.4005
2021-07-13,222.9590
2021-07-12,222.5120
2021-07-09,222.0606
2021-07-08,221.6054
2021-07-07,221.1471
2021-07-06,220.6864
2021-07-02,220.2234
2021-07-01,219.7581
2021-06-30,219.2902
2021-06-29,218.8207
2021-06-28,218.3494
2021-06-25,217.8757
2021-06-24,217.4012
2021-06-23,216.9280
2021-06-22,216.4579
2021-06-21,215.9899
2021-06-18,215.5246
2021-06-17,215.0614
2021-06-16,214.5985
2021-06-15,214.1363
2021-06-14,213.6743
2021-06-11,213.2123
2021-06-10,212.7501
2021-06-09,212.2889
2021-06-08,211.8279
2021-06-07,211.3670
2021-06-04,210.9066
2021-06-03,210.4471
2021-06-02,209.9880
2021-06-01,209.5296
2021-05-28,209.0717
2021-05-27,208.6147
2021-05-26,208.1589
2021-05-25,207.7044
2021-05-24,207.2480
2021-05-21,206.7896
2021-05-20,206.3292
2021-05-19,205.8655
2021-05-18,205.3971
2021-05-17,204.9232
2021-05-14,204.4444
2021-05-13,203.9612
2021-05-12,203.4739
2021-05-11,202.9812
2021-05-10,202.4825
2021-05-07,201.9786
2021-05-06,201.4701
2021-05-05,200.9565
2021-05-04,200.4368
2021-05-03,199.9107
2021-04-30,199.3784
2021-04-29,198.8414
2021-04-28,198.2989
2021-04-27,197.7515
2021-04-26,197.2018
2021-04-23,196.6513
2021-04-22,196.1002
2021-04-21,195.5475
2021-04-20,194.9934
2021-04-19,194.4380
2021-04-16,193.8829
2021-04-15,193.3300
2021-04-14,192.7805
2021-04-13,192.2317
2021-04-12,191.6843
2021-04-09,191.1410
2021-04-08,190.6050
2021-04-07,190.0771
2021-04-06,189.5562
2021-04-05,189.0430
2021-04-01,188.5407
2021-03-31,188.0524
2021-03-30,187.5776
2021-03-29,187.1165
2021-03-26,186.6673
2021-03-25,186.2340
2021-03-24,185.8175
2021-03-23,185.4189
