Dates,MINUS_DM Values
2023-07-21,276.9682
2023-07-20,278.3600
2023-07-19,279.7588
2023-07-18,279.8230
2023-07-17,279.0532
2023-07-14,279.3751
2023-07-13,277.2714
2023-07-12,278.0416
2023-07-11,279.4388
2023-07-10,280.8430
2023-07-07,281.6412
2023-07-06,283.0565
2023-07-05,284.4789
2023-07-03,283.5467
2023-06-30,284.9715
2023-06-29,285.5493
2023-06-28,286.9842
2023-06-27,288.4263
2023-06-26,289.8757
2023-06-23,291.3324
2023-06-22,291.6908
2023-06-21,287.3903
2023-06-20,286.3294
2023-06-16,280.6376
2023-06-15,282.0478
2023-06-14,282.7402
2023-06-13,280.8257
2023-06-12,282.2368
2023-06-09,283.6551
2023-06-08,285.0805
2023-06-07,286.5131
2023-06-06,287.9529
2023-06-05,282.4752
2023-06-02,281.3821
2023-06-01,282.7961
2023-05-31,284.2172
2023-05-30,283.2333
2023-05-26,284.6566
2023-05-25,286.0870
2023-05-24,286.6201
2023-05-23,283.0905
2023-05-22,283.0508
2023-05-19,283.7395
2023-05-18,285.1653
2023-05-17,286.5983
2023-05-16,288.0385
2023-05-15,289.4859
2023-05-12,290.9406
2023-05-11,292.4027
2023-05-10,293.6911
2023-05-09,294.6343
2023-05-08,296.1149
2023-05-05,297.6029
2023-05-04,299.0984
2023-05-03,293.2848
2023-05-02,294.7586
2023-05-01,292.6920
2023-04-28,294.1629
2023-04-27,295.0079
2023-04-26,296.4903
2023-04-25,297.9802
2023-04-24,297.3369
2023-04-21,297.8964
2023-04-20,297.4862
2023-04-19,298.1144
2023-04-18,299.6125
2023-04-17,301.1181
2023-04-14,302.6312
2023-04-13,290.7440
2023-04-12,292.2051
2023-04-11,291.9347
2023-04-10,293.4018
2023-04-06,294.8761
2023-04-05,295.9047
2023-04-04,296.9404
2023-04-03,295.0054
2023-03-31,296.4878
2023-03-30,297.9777
2023-03-29,299.4751
2023-03-28,300.9800
2023-03-27,302.4925
2023-03-24,304.0125
2023-03-23,304.3143
2023-03-22,304.9691
2023-03-21,298.5820
2023-03-20,300.0825
2023-03-17,301.5904
2023-03-16,303.1059
2023-03-15,304.6291
2023-03-14,293.5066
2023-03-13,294.9815
2023-03-10,296.4638
2023-03-09,295.4310
2023-03-08,291.2472
2023-03-07,290.8666
2023-03-06,290.4940
2023-03-03,291.9538
2023-03-02,293.4209
2023-03-01,294.8954
2023-02-28,296.3773
2023-02-27,297.8666
2023-02-24,299.3634
2023-02-23,292.4255
2023-02-22,293.8950
2023-02-21,294.9699
2023-02-17,293.8696
2023-02-16,290.7731
2023-02-15,289.7920
2023-02-14,291.2483
2023-02-13,292.7118
2023-02-10,294.1828
2023-02-09,295.6611
2023-02-08,295.4182
2023-02-07,296.9027
2023-02-06,298.3946
2023-02-03,297.9564
2023-02-02,296.7582
2023-02-01,294.6314
2023-01-31,296.1119
2023-01-30,297.5999
2023-01-27,297.3768
2023-01-26,298.8712
2023-01-25,300.3730
2023-01-24,301.8825
2023-01-23,301.3994
2023-01-20,302.9140
2023-01-19,304.3960
2023-01-18,301.5236
2023-01-17,303.0388
2023-01-13,302.0390
2023-01-12,303.5568
2023-01-11,305.0822
2023-01-10,306.6153
2023-01-09,303.6845
2023-01-06,305.2106
2023-01-05,306.7443
2023-01-04,308.2857
2023-01-03,309.8349
2022-12-30,311.3918
2022-12-29,312.9566
2022-12-28,313.2881
2022-12-27,314.6695
2022-12-23,316.2508
2022-12-22,316.8852
2022-12-21,314.4072
2022-12-20,315.9872
2022-12-19,317.5750
2022-12-16,319.1709
2022-12-15,320.7748
2022-12-14,318.2360
2022-12-13,319.8352
2022-12-12,321.4424
2022-12-09,323.0577
2022-12-08,324.6811
2022-12-07,326.3127
2022-12-06,325.5504
2022-12-05,323.3771
2022-12-02,325.0021
2022-12-01,326.6353
2022-11-30,328.2767
2022-11-29,329.9263
2022-11-28,331.5842
2022-11-25,330.9087
2022-11-23,332.5715
2022-11-22,334.2428
2022-11-21,335.9224
2022-11-18,337.1984
2022-11-17,338.8928
2022-11-16,337.2491
2022-11-15,338.0393
2022-11-14,338.9842
2022-11-11,340.6876
2022-11-10,342.3996
2022-11-09,344.1202
2022-11-08,345.8495
2022-11-07,347.5874
2022-11-04,349.3341
2022-11-03,351.0895
2022-11-02,352.8538
2022-11-01,354.6269
2022-10-31,356.4090
2022-10-28,357.7865
2022-10-27,359.5844
2022-10-26,361.3914
2022-10-25,353.4838
2022-10-24,355.2601
2022-10-21,357.0453
2022-10-20,357.0908
2022-10-19,358.8852
2022-10-18,360.6887
2022-10-17,362.5012
2022-10-14,364.3228
2022-10-13,366.1536
2022-10-12,364.2850
2022-10-11,364.4572
2022-10-10,365.5945
2022-10-07,367.4317
2022-10-06,367.5487
2022-10-05,369.3957
2022-10-04,370.1766
2022-10-03,372.0368
2022-09-30,373.9063
2022-09-29,372.9611
2022-09-28,371.2172
2022-09-27,373.0826
2022-09-26,373.6710
2022-09-23,372.9156
2022-09-22,365.9553
2022-09-21,362.8496
2022-09-20,364.6729
2022-09-19,366.5055
2022-09-16,368.3472
2022-09-15,364.2384
2022-09-14,366.0687
2022-09-13,365.0641
2022-09-12,356.5267
2022-09-09,358.3183
2022-09-08,360.1189
2022-09-07,361.9285
2022-09-06,363.7473
2022-09-02,364.5500
2022-09-01,366.3819
2022-08-31,358.8562
2022-08-30,360.0765
2022-08-29,361.8859
2022-08-26,361.6240
2022-08-25,363.4412
2022-08-24,365.2676
2022-08-23,367.1031
2022-08-22,368.9478
2022-08-19,366.1084
2022-08-18,364.7421
2022-08-17,366.2533
2022-08-16,365.0184
2022-08-15,366.8527
2022-08-12,368.6962
2022-08-11,370.5489
2022-08-10,372.4110
2022-08-09,374.2824
2022-08-08,374.8954
2022-08-05,376.7793
2022-08-04,378.1902
2022-08-03,380.0907
2022-08-02,381.1866
2022-08-01,381.9865
2022-07-29,383.9061
2022-07-28,385.8352
2022-07-27,387.7741
