Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2007-05-30,80.45588203370242,80.47344970703125,80.38559793506602,80.47344970703125,1550,0.0,0.0,0.0
2007-05-31,80.45588203370242,80.47344970703125,80.45588203370242,80.47344970703125,11200,0.0,0.0,0.0
2007-06-01,80.49104309082031,80.49104309082031,80.49104309082031,80.49104309082031,1450,0.0,0.0,0.0
2007-06-04,80.50862121582031,80.50862121582031,80.50862121582031,80.50862121582031,1050,0.0,0.0,0.0
2007-06-05,80.52619559824046,80.5437632779976,80.50862121582031,80.50862121582031,3750,0.0,0.0,0.0
2007-06-06,80.50862777138698,80.54376983642578,80.50862777138698,80.54376983642578,9750,0.0,0.0,0.0
2007-06-07,80.50864784077174,80.5262222290039,80.50864784077174,80.5262222290039,12150,0.0,0.0,0.0
2007-06-08,80.54376983642578,80.54376983642578,80.49106009019937,80.54376983642578,7850,0.0,0.0,0.0
2007-06-11,80.54379164126784,80.57893371582031,80.54379164126784,80.57893371582031,2400,0.0,0.0,0.0
2007-06-12,80.57890534017487,80.57890534017487,80.50862121582031,80.50862121582031,3900,0.0,0.0,0.0
2007-06-13,80.50864956671539,80.57893371582031,80.50864956671539,80.57893371582031,3750,0.0,0.0,0.0
2007-06-14,80.61405181884766,80.61405181884766,80.61405181884766,80.61405181884766,13400,0.0,0.0,0.0
2007-06-15,80.64916793355725,80.6843032836914,80.59645150303358,80.6843032836914,1050,0.0,0.0,0.0
2007-06-18,80.66674698033653,80.71945671562956,80.64917930279292,80.70188903808594,28000,0.0,0.0,0.0
2007-06-19,80.70188903808594,80.70188903808594,80.70188903808594,80.70188903808594,850,0.0,0.0,0.0
2007-06-20,80.68438610937208,80.73710259401129,80.68438610937208,80.71952819824219,3100,0.0,0.0,0.0
2007-06-21,80.70196050514119,80.73710259401129,80.70196050514119,80.71952819824219,850,0.0,0.0,0.0
2007-06-22,80.7370470292071,80.78975677490234,80.7370470292071,80.78975677490234,2200,0.0,0.0,0.0
2007-06-25,80.73702521924288,80.75459289550781,80.73702521924288,80.75459289550781,29700,0.0,0.0,0.0
2007-06-26,80.75461952396972,80.7721939086914,80.73705184191195,80.7721939086914,5100,0.0,0.0,0.0
2007-06-27,80.78973495069934,80.78973495069934,80.75459289550781,80.75459289550781,8200,0.0,0.0,0.0
2007-06-28,80.78975677490234,80.78975677490234,80.78975677490234,80.78975677490234,900,0.0,0.0,0.0
2007-06-29,80.78975570189536,80.82489776611328,80.7721880211181,80.82489776611328,5650,0.0,0.0,0.0
2007-07-02,80.84782409667969,80.91841301777438,80.83017181712697,80.84782409667969,13050,0.406,0.0,0.0
2007-07-03,80.79487399039358,80.84782409667969,80.79487399039358,80.84782409667969,3000,0.0,0.0,0.0
2007-07-05,80.83017181712697,80.84782409667969,80.77722844321293,80.84782409667969,5450,0.0,0.0,0.0
2007-07-06,80.865473024885,80.88312530517578,80.865473024885,80.88312530517578,3800,0.0,0.0,0.0
2007-07-09,80.83019930543558,80.90079498291016,80.83019930543558,80.90079498291016,3950,0.0,0.0,0.0
2007-07-10,80.88312016129035,80.91841125488281,80.88312016129035,80.91841125488281,5250,0.0,0.0,0.0
2007-07-11,80.91841125488281,80.91841125488281,80.84782233532596,80.91841125488281,9100,0.0,0.0,0.0
2007-07-12,80.93606567382812,80.93606567382812,80.90076784693055,80.93606567382812,14700,0.0,0.0,0.0
2007-07-13,80.93609742677157,80.95374298095703,80.91844514021136,80.95374298095703,13050,0.0,0.0,0.0
2007-07-16,80.9890276924382,80.9890276924382,80.9360843060898,80.97138214111328,16150,0.0,0.0,0.0
2007-07-17,81.00668334960938,81.00668334960938,80.9360876766225,81.00668334960938,46500,0.0,0.0,0.0
2007-07-18,80.97137575133709,80.98902130126953,80.91842563679356,80.98902130126953,5450,0.0,0.0,0.0
2007-07-19,81.00668334960938,81.02432890166914,80.95373322868225,81.00668334960938,13900,0.0,0.0,0.0
2007-07-20,81.05958342734567,81.05958342734567,81.04193115234375,81.04193115234375,8000,0.0,0.0,0.0
2007-07-23,81.04193115234375,81.05958342734567,81.02428560971215,81.04193115234375,6950,0.0,0.0,0.0
2007-07-24,81.04193115234375,81.05958342734567,81.02428560971215,81.04193115234375,9350,0.0,0.0,0.0
2007-07-25,81.05962371826172,81.07726926966409,81.05962371826172,81.05962371826172,9800,0.0,0.0,0.0
2007-07-26,81.05963258387474,81.09493042291373,81.00668919150348,81.07727813720703,41050,0.0,0.0,0.0
2007-07-27,81.05960545347372,81.18314448257482,80.84782522249643,81.112548828125,153800,0.0,0.0,0.0
2007-07-30,81.09488124497919,81.1301790626127,81.04193115234375,81.04193115234375,10300,0.0,0.0,0.0
2007-07-31,81.14786529541016,81.14786529541016,81.11256746007716,81.14786529541016,54000,0.0,0.0,0.0
2007-08-01,81.13902334157423,81.15674017992407,81.06814246903079,81.12129974365234,18650,0.37,0.0,0.0
2007-08-02,81.06813433232469,81.1390151977539,81.05041749575307,81.1390151977539,49750,0.0,0.0,0.0
2007-08-03,81.17448043542855,81.19219727741401,81.10359954833984,81.10359954833984,26200,0.0,0.0,0.0
2007-08-06,81.19214630126953,81.20986989170075,81.1567058799763,81.19214630126953,22300,0.0,0.0,0.0
2007-08-07,81.20987701416016,81.22759384657601,81.13899616535713,81.20987701416016,13950,0.0,0.0,0.0
2007-08-08,81.20984073816031,81.22755756266217,81.15667674552122,81.17440032958984,19750,0.0,0.0,0.0
2007-08-09,81.22759871827937,81.2807559782849,81.20988188480092,81.24531555175781,103150,0.0,0.0,0.0
2007-08-10,81.29847717285156,81.31619400580732,81.28075358032581,81.29847717285156,112100,0.0,0.0,0.0
2007-08-13,81.29848342203006,81.33392385023578,81.28075982814194,81.31620025634766,71800,0.0,0.0,0.0
