Dates,Total Sentiment,Number of Articles
2006-01-02,0.0,0.0
2006-01-03,0.106,1.0
2006-01-04,0.272,2.0
2006-01-05,0.0,2.0
2006-01-06,0.178,3.0
2006-01-07,0.285,1.0
2006-01-08,0.022,1.0
2006-01-09,0.0,0.0
2006-01-10,0.362,5.0
2006-01-11,0.0,1.0
2006-01-12,0.156,2.0
2006-01-13,0.193,2.0
2006-01-14,0.0,0.0
2006-01-15,0.246,2.0
2006-01-16,0.142,1.0
2006-01-17,0.077,3.0
2006-01-18,0.416,3.0
2006-01-19,0.4570000000000001,4.0
2006-01-20,0.0,1.0
2006-01-21,0.445,4.0
2006-01-22,0.105,2.0
2006-01-23,0.041,1.0
2006-01-24,0.0,0.0
2006-01-25,0.0,1.0
2006-01-26,0.0,2.0
2006-01-27,0.373,2.0
2006-01-28,0.178,1.0
2006-01-29,0.0,0.0
2006-01-30,0.134,3.0
2006-01-31,0.079,3.0
2006-02-01,0.508,3.0
2006-02-02,0.4619999999999999,4.0
2006-02-03,0.0,0.0
2006-02-04,0.0,1.0
2006-02-05,0.302,2.0
2006-02-06,0.0,1.0
2006-02-07,0.065,2.0
2006-02-08,0.0,1.0
2006-02-09,0.0,1.0
2006-02-10,0.0,0.0
2006-02-11,0.0,0.0
2006-02-12,0.0,1.0
2006-02-13,0.0,1.0
2006-02-14,0.118,2.0
2006-02-15,0.251,2.0
2006-02-16,0.0,0.0
2006-02-17,0.0,2.0
2006-02-18,0.254,1.0
2006-02-19,0.064,1.0
2006-02-20,0.123,1.0
2006-02-21,0.18,3.0
2006-02-22,0.289,6.0
2006-02-23,0.543,4.0
2006-02-24,0.0,0.0
2006-02-25,0.0,0.0
2006-02-26,0.0,1.0
2006-02-27,0.0,0.0
2006-02-28,0.2289999999999999,2.0
2006-03-01,0.506,5.0
2006-03-02,0.133,2.0
2006-03-03,0.522,3.0
2006-03-04,0.185,1.0
2006-03-05,0.052,1.0
2006-03-06,0.0,0.0
2006-03-07,0.043,2.0
2006-03-08,0.286,4.0
2006-03-09,0.0,2.0
2006-03-10,0.063,1.0
2006-03-11,0.0,0.0
2006-03-12,0.22,2.0
2006-03-13,0.0,0.0
2006-03-14,0.159,2.0
2006-03-15,0.353,2.0
2006-03-16,0.0,0.0
2006-03-17,0.183,2.0
2006-03-18,0.0,0.0
2006-03-19,0.0,0.0
2006-03-20,0.0,0.0
2006-03-21,0.0,2.0
2006-03-22,0.0,2.0
2006-03-23,0.0,0.0
2006-03-24,0.0,1.0
2006-03-25,0.061,1.0
2006-03-26,0.4590000000000001,5.0
2006-03-27,0.0,3.0
2006-03-28,0.923,6.0
2006-03-29,0.185,5.0
2006-03-30,0.203,4.0
2006-03-31,0.244,4.0
2006-04-01,0.0,0.0
2006-04-02,0.022,1.0
2006-04-03,0.114,1.0
2006-04-04,0.0,1.0
2006-04-05,0.695,9.0
2006-04-06,1.189,6.0
2006-04-07,0.226,4.0
2006-04-08,0.072,1.0
2006-04-09,0.082,1.0
2006-04-10,0.242,4.0
2006-04-11,0.422,3.0
2006-04-12,0.161,5.0
2006-04-13,0.0,2.0
2006-04-14,0.086,2.0
2006-04-15,0.0,0.0
2006-04-16,0.177,3.0
2006-04-17,0.511,4.0
2006-04-18,0.0,3.0
2006-04-19,1.259,7.0
2006-04-20,1.036,9.0
2006-04-21,0.0,0.0
2006-04-22,0.14,1.0
2006-04-23,0.669,4.0
2006-04-24,0.0,2.0
2006-04-25,0.395,5.0
2006-04-26,0.363,5.0
2006-04-27,0.197,1.0
2006-04-28,0.133,2.0
2006-04-29,0.0,0.0
2006-04-30,0.152,1.0
2006-05-01,0.265,4.0
2006-05-02,0.183,4.0
2006-05-03,0.0,2.0
2006-05-04,0.0,0.0
2006-05-05,0.213,1.0
2006-05-06,0.0,0.0
2006-05-07,0.8769999999999999,9.0
2006-05-08,0.244,2.0
2006-05-09,0.5820000000000001,7.0
2006-05-10,0.502,6.0
2006-05-11,1.168,8.0
2006-05-12,0.352,3.0
2006-05-13,0.508,4.0
2006-05-14,0.309,4.0
2006-05-15,0.505,3.0
2006-05-16,1.5039999999999998,8.0
2006-05-17,1.377,6.0
2006-05-18,0.756,9.0
2006-05-19,0.0,0.0
2006-05-20,0.305,2.0
2006-05-21,0.121,5.0
2006-05-22,0.211,3.0
2006-05-23,0.6299999999999999,4.0
2006-05-24,0.897,6.0
2006-05-25,0.115,2.0
2006-05-26,0.108,1.0
2006-05-27,0.0,0.0
2006-05-28,0.364,2.0
2006-05-29,0.172,1.0
2006-05-30,1.128,10.0
2006-05-31,0.249,3.0
2006-06-01,0.0,0.0
2006-06-02,0.0,0.0
2006-06-03,0.417,2.0
2006-06-04,0.0,0.0
2006-06-05,0.981,5.0
2006-06-06,1.088,10.0
2006-06-07,0.356,2.0
2006-06-08,0.0,4.0
2006-06-09,0.0,3.0
2006-06-10,0.0,0.0
2006-06-11,0.0,2.0
2006-06-12,0.26,1.0
2006-06-13,0.102,4.0
2006-06-14,0.623,5.0
2006-06-15,0.639,5.0
2006-06-16,0.8929999999999999,5.0
2006-06-17,0.7749999999999999,4.0
2006-06-18,0.214,3.0
2006-06-19,0.721,11.0
2006-06-20,0.537,5.0
2006-06-21,0.7879999999999999,6.0
2006-06-22,0.794,5.0
2006-06-23,0.0,0.0
2006-06-24,0.433,4.0
2006-06-25,0.485,5.0
2006-06-26,0.42,1.0
2006-06-27,1.137,4.0
2006-06-28,0.293,4.0
2006-06-29,0.2219999999999999,4.0
2006-06-30,0.4619999999999999,7.0
2006-07-01,0.0,0.0
2006-07-02,0.4599999999999999,3.0
2006-07-03,0.155,1.0
2006-07-04,0.5630000000000001,5.0
2006-07-05,0.0,1.0
2006-07-06,1.053,8.0
2006-07-07,0.323,5.0
2006-07-08,0.181,2.0
2006-07-09,0.288,6.0
2006-07-10,0.706,7.0
2006-07-11,0.946,12.0
2006-07-12,1.067,7.0
2006-07-13,0.0,1.0
2006-07-14,0.033,1.0
2006-07-15,0.124,2.0
2006-07-16,0.185,6.0
2006-07-17,0.191,8.0
2006-07-18,0.544,6.0
2006-07-19,1.351,10.0
2006-07-20,0.3239999999999999,3.0
2006-07-21,0.696,4.0
2006-07-22,0.0,0.0
2006-07-23,0.841,6.0
2006-07-24,0.145,2.0
2006-07-25,0.767,9.0
2006-07-26,0.3309999999999999,4.0
2006-07-27,0.515,9.0
2006-07-28,0.32,2.0
2006-07-29,0.0,0.0
2006-07-30,0.3419999999999999,2.0
2006-07-31,0.0,0.0
2006-08-01,0.0,0.0
2006-08-02,0.538,3.0
2006-08-03,0.0,0.0
2006-08-04,0.0,1.0
2006-08-05,0.079,2.0
2006-08-06,1.383,8.0
2006-08-07,0.0,0.0
2006-08-08,0.945,7.0
2006-08-09,0.0,0.0
2006-08-10,0.0,0.0
2006-08-11,0.292,5.0
2006-08-12,0.087,2.0
2006-08-13,0.492,3.0
2006-08-14,0.0,0.0
2006-08-15,0.027,3.0
2006-08-16,0.618,5.0
2006-08-17,0.38,4.0
2006-08-18,0.392,7.0
2006-08-19,0.0,0.0
2006-08-20,0.291,3.0
2006-08-21,0.162,1.0
2006-08-22,0.0,1.0
2006-08-23,0.063,3.0
2006-08-24,0.234,1.0
2006-08-25,0.0,0.0
2006-08-26,0.0,0.0
2006-08-27,0.193,2.0
2006-08-28,0.167,1.0
2006-08-29,0.308,3.0
2006-08-30,0.361,2.0
2006-08-31,0.151,3.0
2006-09-01,0.178,8.0
2006-09-02,0.0,4.0
2006-09-03,0.4469999999999999,6.0
2006-09-04,0.0,1.0
2006-09-05,1.0950000000000002,11.0
2006-09-06,0.766,8.0
2006-09-07,1.6029999999999998,13.0
2006-09-08,0.0,1.0
2006-09-09,0.291,4.0
2006-09-10,1.003,11.0
2006-09-11,0.416,5.0
2006-09-12,0.414,5.0
2006-09-13,0.371,2.0
2006-09-14,1.535,7.0
2006-09-15,0.898,6.0
2006-09-16,0.143,2.0
2006-09-17,0.0,0.0
2006-09-18,0.387,3.0
2006-09-19,0.0,1.0
2006-09-20,0.552,4.0
2006-09-21,0.399,8.0
2006-09-22,0.7709999999999999,4.0
2006-09-23,0.0,0.0
2006-09-24,0.12,2.0
2006-09-25,0.138,4.0
2006-09-26,0.371,4.0
2006-09-27,0.3399999999999999,4.0
2006-09-28,0.0,0.0
2006-09-29,0.095,2.0
2006-09-30,0.361,5.0
2006-10-01,1.711,10.0
2006-10-02,0.8259999999999998,5.0
2006-10-03,3.133,20.0
2006-10-04,0.969,15.0
2006-10-05,1.709,17.0
2006-10-06,0.66,7.0
2006-10-07,0.4659999999999999,2.0
2006-10-08,1.4020000000000004,14.0
2006-10-09,0.6589999999999999,9.0
2006-10-10,0.208,11.0
2006-10-11,0.469,6.0
2006-10-12,0.447,8.0
2006-10-13,0.702,10.0
2006-10-14,0.567,3.0
2006-10-15,0.414,4.0
2006-10-16,0.514,2.0
2006-10-17,1.659,9.0
2006-10-18,0.0,0.0
2006-10-19,0.22,4.0
2006-10-20,0.15,2.0
2006-10-21,0.0,1.0
2006-10-22,0.544,6.0
2006-10-23,0.197,4.0
2006-10-24,0.188,8.0
2006-10-25,0.094,2.0
2006-10-26,1.183,10.0
2006-10-27,1.336,13.0
2006-10-28,0.283,5.0
2006-10-29,0.701,8.0
2006-10-30,0.584,7.0
2006-10-31,1.071,9.0
2006-11-01,0.473,3.0
2006-11-02,0.58,8.0
2006-11-03,0.337,5.0
2006-11-04,0.671,6.0
2006-11-05,0.736,4.0
2006-11-06,0.422,4.0
2006-11-07,0.261,6.0
2006-11-08,0.306,6.0
2006-11-09,0.492,2.0
2006-11-10,0.388,5.0
2006-11-11,0.944,4.0
2006-11-12,0.457,3.0
2006-11-13,0.384,3.0
2006-11-14,0.437,6.0
2006-11-15,0.281,2.0
2006-11-16,0.889,6.0
2006-11-17,0.565,1.0
2006-11-18,0.094,1.0
2006-11-19,0.545,2.0
2006-11-20,0.376,2.0
2006-11-21,0.207,3.0
2006-11-22,1.1940000000000002,8.0
2006-11-23,0.428,5.0
2006-11-24,0.049,1.0
2006-11-25,0.0,0.0
2006-11-26,0.0,0.0
2006-11-27,0.8660000000000001,2.0
2006-11-28,1.892,9.0
2006-11-29,0.224,5.0
2006-11-30,0.556,9.0
2006-12-01,0.5980000000000001,6.0
2006-12-02,0.862,4.0
2006-12-03,0.518,3.0
2006-12-04,0.214,2.0
2006-12-05,0.247,5.0
2006-12-06,0.0,2.0
2006-12-07,0.258,5.0
2006-12-08,0.103,2.0
2006-12-09,0.268,6.0
2006-12-10,0.9360000000000002,6.0
2006-12-11,0.473,3.0
2006-12-12,0.115,2.0
2006-12-13,0.0,0.0
2006-12-14,0.4409999999999999,3.0
2006-12-15,0.239,4.0
2006-12-16,0.0,0.0
2006-12-17,0.051,3.0
2006-12-18,0.156,3.0
2006-12-19,0.0,0.0
2006-12-20,0.091,4.0
2006-12-21,0.231,4.0
2006-12-22,0.274,3.0
2006-12-23,0.437,5.0
2006-12-24,0.478,5.0
2006-12-25,0.999,4.0
2006-12-26,1.629,6.0
2006-12-27,0.801,6.0
2006-12-28,0.0,1.0
2006-12-29,0.359,2.0
2006-12-30,0.412,3.0
2006-12-31,0.4,3.0
