Dates,Total Sentiment,Number of Articles
2007-01-01,0.3399999999999999,5.0
2007-01-02,0.409,7.0
2007-01-03,0.5389999999999999,5.0
2007-01-04,0.4609999999999999,8.0
2007-01-05,0.055,1.0
2007-01-06,0.574,1.0
2007-01-07,0.262,2.0
2007-01-08,0.155,1.0
2007-01-09,0.0,0.0
2007-01-10,0.384,2.0
2007-01-11,0.115,3.0
2007-01-12,0.0,0.0
2007-01-13,0.0,0.0
2007-01-14,0.236,1.0
2007-01-15,0.0,0.0
2007-01-16,0.147,2.0
2007-01-17,0.498,8.0
2007-01-18,0.093,3.0
2007-01-19,0.0,1.0
2007-01-20,0.0,0.0
2007-01-21,0.398,2.0
2007-01-22,0.184,3.0
2007-01-23,0.114,1.0
2007-01-24,0.315,1.0
2007-01-25,0.469,5.0
2007-01-26,0.247,2.0
2007-01-27,0.0,0.0
2007-01-28,0.0,0.0
2007-01-29,0.153,2.0
2007-01-30,0.462,3.0
2007-01-31,0.541,6.0
2007-02-01,0.329,5.0
2007-02-02,0.172,1.0
2007-02-03,0.377,2.0
2007-02-04,0.105,2.0
2007-02-05,0.908,3.0
2007-02-06,0.0,0.0
2007-02-07,2.427,8.0
2007-02-08,0.206,5.0
2007-02-09,0.048,1.0
2007-02-10,0.0,1.0
2007-02-11,0.0,0.0
2007-02-12,0.043,1.0
2007-02-13,0.0,0.0
2007-02-14,0.0,0.0
2007-02-15,0.0,0.0
2007-02-16,0.344,3.0
2007-02-17,0.186,1.0
2007-02-18,0.0,1.0
2007-02-19,0.484,3.0
2007-02-20,0.649,5.0
2007-02-21,0.067,1.0
2007-02-22,0.107,2.0
2007-02-23,0.0,0.0
2007-02-24,0.0,0.0
2007-02-25,0.0,0.0
2007-02-26,0.118,2.0
2007-02-27,0.667,7.0
2007-02-28,0.099,2.0
2007-03-01,0.073,3.0
2007-03-02,0.242,3.0
2007-03-03,0.331,5.0
2007-03-04,0.132,1.0
2007-03-05,0.0,0.0
2007-03-06,0.244,1.0
2007-03-07,0.217,7.0
2007-03-08,0.521,3.0
2007-03-09,0.044,1.0
2007-03-10,0.312,2.0
2007-03-11,0.0,0.0
2007-03-12,0.0,3.0
2007-03-13,0.783,3.0
2007-03-14,0.313,1.0
2007-03-15,0.0,1.0
2007-03-16,0.0,2.0
2007-03-17,0.0,0.0
2007-03-18,0.291,3.0
2007-03-19,0.361,4.0
2007-03-20,0.306,6.0
2007-03-21,0.479,3.0
2007-03-22,0.158,1.0
2007-03-23,0.082,1.0
2007-03-24,0.0,0.0
2007-03-25,0.0,0.0
2007-03-26,0.0,0.0
2007-03-27,0.5780000000000001,4.0
2007-03-28,0.1669999999999999,3.0
2007-03-29,0.089,2.0
2007-03-30,0.4659999999999999,3.0
2007-03-31,0.157,1.0
2007-04-01,0.222,3.0
2007-04-02,0.14,2.0
2007-04-03,0.0,3.0
2007-04-04,0.172,1.0
2007-04-05,0.286,1.0
2007-04-06,0.268,3.0
2007-04-07,0.0,0.0
